income,net_wealth
38804.734469,762100.0
38264.278557,854300.0
36102.45491,678200.0
33508.266533,279600.0
35561.998998,602600.0
224829.65932,721800.0
224829.65932,723800.0
224829.65932,721400.0
224829.65932,724300.0
224829.65932,722600.0
445335.67134,43597590.0
461549.3487,44451510.0
469115.73146,41056890.0
444254.75952,44730180.0
502623.998,43740180.0
152408.56713,2203000.0
149165.83166,2006000.0
145923.09619,2000000.0
145923.09619,2354000.0
144842.18437,2000000.0
56207.41483,4100.0
58369.238477,5500.0
61611.973948,4500.0
67016.533066,5600.0
59450.150301,4500.0
283198.8978,7232000.0
264066.75852,6523000.0
272714.05311,6371000.0
276821.51804,7474000.0
269687.5,6791170.0
13435733.968,70669800.0
14019426.353,73429800.0
13349261.022,76810800.0
14462600.2,73633800.0
13468161.323,74328800.0
39993.737475,1500.0
39993.737475,1500.0
38912.825651,1500.0
39993.737475,1500.0
39993.737475,1500.0
670165.33066,6406100.0
670165.33066,6405100.0
670165.33066,6405200.0
670165.33066,11266200.0
670165.33066,22666100.0
43236.472946,211350.0
43236.472946,214350.0
43236.472946,215250.0
43236.472946,212950.0
43236.472946,213150.0
211858.71743,324500.0
211858.71743,323500.0
211858.71743,324500.0
211858.71743,324500.0
211858.71743,324500.0
42155.561122,1320.0
35670.09018,9420.0
45398.296593,2120.0
51883.767535,5220.0
43236.472946,2020.0
18915.956914,217000.0
18915.956914,153240.0
21942.51002,106000.0
23239.604208,95000.0
32643.537074,66200.0
58369.238477,422190.0
59450.150301,364200.0
59450.150301,410781.0
59450.150301,419981.0
59450.150301,363281.0
113495.74148,-163980.0
116738.47695,-166590.0
119981.21242,-164530.0
108091.18236,-168190.0
119981.21242,-160770.0
55126.503006,292790.0
51883.767535,291190.0
46479.208417,290090.0
54045.591182,293460.0
33508.266533,289900.0
22699.148297,22750.0
21618.236473,29150.0
22699.148297,27250.0
22699.148297,27350.0
21618.236473,25250.0
81068.386774,1051200.0
81068.386774,950200.0
81068.386774,1030100.0
81068.386774,989100.0
81068.386774,1063200.0
49721.943888,44000.0
49721.943888,44000.0
49721.943888,43000.0
49721.943888,44000.0
49721.943888,44000.0
86472.945892,84500.0
86472.945892,83500.0
86472.945892,84500.0
86472.945892,84500.0
86472.945892,83600.0
1887272.0441,46867500.0
1929427.6052,41904600.0
1902404.8096,37359600.0
1890514.7796,44014600.0
1941317.6353,40889500.0
306978.95792,3435200.0
306978.95792,3418200.0
308059.86974,3388200.0
306978.95792,3449200.0
308059.86974,3405200.0
57288.326653,82900.0
57288.326653,79100.0
57288.326653,80100.0
57288.326653,78500.0
57288.326653,78450.0
324273.54709,2391000.0
324273.54709,2421310.0
324273.54709,4316000.0
324273.54709,1957700.0
324273.54709,3692000.0
3480536.0721,86456000.0
3956137.2745,85555000.0
3069789.5792,90737000.0
3772382.2645,90256000.0
4680348.1964,85915000.0
42155.561122,2620.0
42155.561122,3310.0
42155.561122,5020.0
42155.561122,3670.0
42155.561122,5820.0
12970.941884,520.0
12970.941884,140.0
12970.941884,60.0
12970.941884,50.0
12970.941884,230.0
71340.180361,-700.0
58369.238477,-330.0
54045.591182,-680.0
54045.591182,-400.0
46479.208417,-570.0
43236.472946,432700.0
43236.472946,430700.0
43236.472946,430700.0
43236.472946,431700.0
43236.472946,430700.0
95120.240481,2720900.0
95120.240481,2626900.0
96201.152305,2593500.0
96201.152305,2751900.0
95120.240481,2625000.0
43236.472946,7760.0
43236.472946,12070.0
60531.062124,8460.0
44317.38477,8570.0
45398.296593,10760.0
324273.54709,357500.0
324273.54709,355500.0
324273.54709,367500.0
324273.54709,358500.0
324273.54709,385500.0
70259.268537,87400.0
59450.150301,75500.0
70259.268537,111100.0
56207.41483,96400.0
69178.356713,102000.0
717725.4509,4876500.0
910127.75551,5633500.0
806360.22044,5002500.0
938231.46293,4884000.0
775013.77756,5267000.0
54045.591182,445800.0
54045.591182,445900.0
54045.591182,445800.0
54045.591182,445900.0
54045.591182,445800.0
36751.002004,24000.0
43236.472946,23000.0
42155.561122,23700.0
54045.591182,23400.0
29184.619238,24200.0
54045.591182,14100.0
52964.679359,16200.0
54045.591182,15100.0
54045.591182,8700.0
54045.591182,21600.0
6409807.1142,42184000.0
5977442.3848,39706000.0
5999060.6212,40400000.0
6409807.1142,37500000.0
6615180.3607,36154000.0
9728.2064128,615000.0
4539.8296593,640000.0
1621.3677355,620000.0
8647.2945892,590000.0
4972.1943888,570000.0
171864.97996,158900.0
172945.89178,159900.0
171864.97996,157900.0
171864.97996,157900.0
