income,net_wealth
23900,161284.14296624204
15000,305940.0
32800,806346.0
113000,427653.0
22800,394825.2
50200,1250623.4
25600,464759.04000000004
15600,145980.7456654432
41500,849389.5127105042
33500,247155.72
7650,6080.0
24200,771403.89
38700,779960.0
13900,420849.95194762194
10700,8250.0
16500,409341.2
57600,418286.0
14800,320715.70665625
13500,171786.8
21400,324472.0
77800,1422167.9023779281
64900,146010.08454621266
32500,8350.0
28200,1022132.0
25100,288858.0
33300,628350.0
46200,623972.098593984
34900,478500.0
46700,358200.0
33600,587641.7624230721
37600,17300.0
38900,460636.0833004593
37500,300523.147891046
30000,590556.2
57500,1541138.350481629
44500,760953.56
86400,1648834.4780097029
37000,1165767.88
11100,224337.74
24000,454998.0119719438
8460,15459.0
23700,457320.0
28800,344951.68
36600,1086325.6
74700,1490461.6
27600,523678.72
50300,192170.0
33400,214232.84497328207
31800,211000.0
43100,661312.24
12500,25300.0
18300,70171.02781076563
25100,814412.8892025235
12700,518801.32
18400,555209.6
52600,1064753.0
27800,437112.0
21800,223785.4
18700,1312880.04
22700,7569.0
14000,38286.07177734375
21800,945700.0
276,1140627.293460723
16700,393572.56
18000,86000.0
37700,824626.5629485413
11000,161988.8
42100,228707.2431144675
16000,34283.36690918164
15400,24526.0
31100,985092.0
47100,227269.16922723802
87900,1418078.47156737
43800,1820465.15
43300,528305.33153902
26700,1028403.62375
38000,1024054.12
40500,2045170.0
18900,503707.1444500204
50800,1330435.76
39800,757669.7858696765
25600,713485.0
37700,1163377.08
22800,627355.8
11600,265332.72
28200,886928.56
57900,1646539.32
56900,2263962.2800000003
39200,254440.0
35000,1036935.7740761325
15500,484494.0
8170,522000.0
28300,196284.0
118000,545805.0
31400,391964.8
15400,223665.0
20900,724330.56
32300,278593.15060646867
57100,1357487.3599999999
43200,860002.28
36100,1192497.32
51900,95330.0
27700,627705.0
15400,82430.04434454581
21200,63792.4
77000,1725813.4673247584
22100,17223.0
13100,555600.0800000001
36200,845716.0
29300,849284.2
51100,1565918.383096038
60300,1515766.2844177717
22800,32279.52
58600,990462.6400000001
63800,671223.245478064
43900,1347068.0
14600,965560.0
43600,2331241.2145161694
31900,952453.410540272
39800,544450.0
36100,1270547.0673808935
14600,56047.0
3840,1139133.7558152527
5640,391527.52
32800,585929.0
64200,1344620.0
58100,1307581.9
63500,121905.1610821468
9160,538811.0
24100,626421.36
8530,23100.0
40000,1308097.0
47200,521894.56670329167
53100,300650.0
106000,2063942.28
36200,512347.30910299683
42400,793934.0431163651
43800,551352.9302519965
22700,2057616.6400000001
8320,7320.0
64300,1614804.48
39200,1345973.385865225
50600,2519130.0
4320,448700.0
59800,461193.7412149037
28800,907796.3572796016
34500,1049158.927925746
29400,361209.36
88200,3241782.0300000003
22900,18120.0
12400,10019.0
11600,671964.0
71400,1264539.0350319403
7550,13126.0
46900,1766537.12
23900,502260.16000000003
12300,8500.0
166000,5547485.68359375
38100,835922.28
28100,8150.0
58000,2685320.8413716173
65900,9247500.0
38400,485328.64
18800,80364.2
76400,1941050.44
75100,1463871.52
7720,5500.0
130000,2671531.615381581
15800,2225925.0
52300,1839598.7390366704
61500,801993.5027624054
7740,567000.0
63700,1421903.3199999998
86100,5800118.0
165000,5293313.427630775
44700,5166354.24
34700,1703955.22047
23600,2310075.2800000003
66800,1368562.4
14800,23465.0
94000,1180775.5122870393
68800,670552.0
91800,1143247.3531977355
58100,680660.5587534291
23600,1101414.462890625
105000,595782.1038825236
41000,1240047.5073370526
28200,710247.16
29900,7658626.71
45600,576516.4100152077
14900,203760.0
40700,64688.45911500396
40600,1357435.2370155386
46100,926537.2201604353
39900,954970.177
16500,416926.24
27200,703009.64
27300,959102.0
69300,523900.0
34900,1118906.16
17700,403651.2
26100,488238.0
117000,4345500.205832119
35900,300402.79737377644
20300,579400.28
36200,859644.0
52600,1589172.0
23400,15130.0
23500,487554.61506721616
40900,354624.7231956426
15500,918992.68
37800,65556.0
36400,97535.0
23100,401377.68834523216
38800,977741.5946241096
17800,792726.1472
44700,1577915.04
24700,863378.88
16100,157463.0
19800,192700.0
37000,1921902.9732751702
29800,1746507.26
62100,796462.5
36600,1370003.92
19100,947122.92
49500,1801485.72
53200,331219.6915764256
60000,1885498.4119388652
55800,1062579.058239051
31400,1683654.28
10900,743673.0
41900,1354247.988
26000,16500.0
27600,1388596.0
9390,199924.0
63300,1415180.0
15600,687652.8
23300,215472.6
10300,866500.0
11000,355575.0
106000,6642276.92
36100,1183325.3225701111
14500,246975.12
36000,318564.0
9380,1128001.0
28700,173729.0
25600,329030.0
26300,9660.0
43800,97587.06951153648
29300,140557.0
22400,553778.16
31200,390808.16000000003
9820,448430.08
51100,1166500.4
47600,929342.9970796586
21900,466120.96
1430,179000.0
43000,1496752.8
4590,72600.0
8830,35161.0
7220,178600.0
27200,441138.2207997247
12800,302216.80000000005
15300,293228.08
39600,2526359.2
76300,1156590.0
14300,38000.0
15200,432618.4
147000,2173579.82286543
31200,70379.13201526071
8990,2789.0
19200,629440.0
53500,684333.2605750752
72000,851203.4022636956
31100,1038804.1696556141
38300,1012240.8
12200,27000.0
27900,160894.436
38300,693099.0
31100,460735.7241778512
33800,1227634.8
92200,2017742.2948087293
15300,98959.42209183812
2000,1735.0
11900,122617.64
18500,117000.0
33600,127110.0
47500,302523.29407811863
53500,855937.9553231606
12400,40323.20097284168
27800,51550.19656514612
23300,869673.76
14100,295503.0
45900,1055598.3305819957
62700,434505.5351023497
32200,613816.48
38600,583873.0
23500,854173.8
5290,217768.0
18100,596069.4
33200,919054.4
42700,274017.0
46100,1787357.44
48600,1079724.2
25600,741206.0
10900,29327.0
40500,26047.0
11100,13030.0
108000,3651387.991489449
56900,154051.19527999999
71400,206777.0
43500,313568.75
50800,2947815.2309206314
36300,575438.0
82000,536375.0
16700,105504.0
19200,398788.5669492837
46000,291063.59166248
23200,447795.08
13200,152708.79088950958
13900,545631.12
27700,249965.16
51600,3933052.0
42100,537705.2764520695
66600,426782.67831553594
32600,775730.8
19300,128963.0
15000,498981.7171179092
56500,488856.20621211705
61800,387238.0
73200,4831717.99398116
37200,610164.7979770326
30000,1060566.1827500002
135000,16614220.923388086
23000,1937516.7977879844
20000,1110442.0
18400,284500.68
36900,676862.6
21100,687744.7866639593
82800,1419493.6113485433
6350,450458.8
48900,380645.0024032075
13900,77255.2
15100,198589.6
32900,287974.3580859689
29700,106080.0
761,90400.0
40700,1295450.0
20000,18647.0
45900,285250.0
8450,274000.0
10300,238806.84
4190,341500.0
25800,9890.0
20500,16500.0
21700,11042.0
13200,211101.0
53700,379262.680705118
11600,251396.08000000002
158000,1424863.9353796593
12900,397935.0
22100,491041.24
60700,124800.0
15900,249909.63999999998
67400,1064396.24
46900,1226720.0
32200,470760.8
9980,8040.0
14800,161485.6
29400,368607.28
19400,817639.1867194665
68400,1025384.0
51000,1684932.4000000001
72800,5585911.28
13600,393224.31596467295
16000,393336.88
41700,621663.5033688514
8900,604800.0
52500,496448.6408494295
58500,801490.0
59200,101953.63722278329
14300,36708.0
9050,260563.52
11100,419112.75
9890,156611.0
58600,363566.1315916355
43300,1058410.495042167
21600,671523.3200000001
16500,1252200.0
13800,404359.83999999997
28300,658506.0
11100,47100.0
12400,295075.32
41300,1186710.7001956585
14900,12430.0
60400,815498.5977585979
7090,328900.0
7040,410470.0
53200,3289188.52
23100,865154.0
74600,2144542.0
14000,521184.16000000003
54500,1726580.0
64300,814220.764674096
76100,1091354.317808507
16500,559732.0
53800,89811.27598711742
32000,396526.5402698052
12700,99418.72
66800,432900.0
34300,894047.44
35600,303093.0
27600,1838023.08175
34500,686100.0
49100,2333155.0
35300,1255585.6
14200,606318.0
18800,1074873.56
29200,364996.0
14100,157047.84000000003
57500,1607960.72
7740,100467.0
23500,578318.2
35400,916880.5599999999
23700,623037.0
35100,1161802.6080894899
34600,740003.04
11800,382388.92000000004
89300,921499.8116977802
16900,373661.0
15100,16930.0
17400,483943.81156
22000,1830982.0
28500,239141.52
105000,3759519.9211560613
24900,381593.31203173165
31300,166590.76228773556
39900,529136.1631985185
31700,274008.0
66700,678483.0
18500,809234.96
29500,464387.52
11300,101163.0
14700,385561.62114747986
43200,148500.0
42700,568124.0947381046
20800,420277.8
4790,211365.56
57800,364551.0
26500,163118.13608105312
18700,440218.0
63300,327018.89358109643
32900,1169136.2591164676
154000,873491.1092663654
84700,1931123.56
12900,2740.0
33800,1737424.3050088817
38500,97628.62223779477
9710,1800.0
29300,98570.92825
5720,6076.0
44800,226523.33534279972
29600,311010.0
14800,252280.0
43000,567280.0
30900,1113499.8399999999
47800,1183162.0
81000,777905.0
7700,3520.0
31900,426276.68931366067
21200,693716.3200000001
52700,1124329.0
37000,1041928.1599999999
44700,537699.599609375
9090,159800.0
84300,1461766.9148405865
99700,1611960.4
57600,847485.0
